artifact_id,artifact,category
TCLA001,Sekta,Loan Words
TCLA002,Presha,Loan Words
TCLA003,Historia,Loan Words
TCLA004,Simu,Loan Words
TCLA005,Hospitali,Loan Words
TCLA006,Mashine,Loan Words
TCLA007,Famasia,Loan Words
TCLA008,Sayansi,Loan Words
TCLA009,Inteneti,Loan Words
TCLA010,Technolojia,Loan Words
TCLA011,Nesi,Loan Words
TCLA012,Redio,Loan Words
TCLA013,Televisheni,Loan Words
TCLA014,Kliniki,Loan Words
TCLA015,Homoni,Loan Words
TCLA016,Antibiotiki,Loan Words
TCLA017,Programu,Loan Words
TCLA018,Kompyuta,Loan Words
TCLA019,Data,Loan Words
TCLA020,Ripoti,Loan Words
TCLA021,Skuli,Loan Words
TCLA022,Misuli,Loan Words
TCLA023,Ofisi,Loan Words
TCLA024,Gramu,Loan Words
TCLA025,Kampeni,Loan Words
TCLA026,Virusi,Loan Words
TCLA027,Magazeti,Loan Words
TCLA028,Kalori,Loan Words
TCLA029,Kisaikolojia,Loan Words
TCLA030,Kisayansi,Loan Words
TCLA031,Kesi,Loan Words
TCLA032,Taulo,Loan Words
TCLA033,Timu,Loan Words
TCLA034,Kampuni,Loan Words
TCLA035,Kitabu,Loan Words
TCLA036,Switi,Loan Words
TCLA037,Pesa,Loan Words
TCLA038,Baiskeli,Loan Words
TCLA039,Kambi,Loan Words
TCLA040,Shule,Loan Words
TCLA041,Shati,Loan Words
TCLA042,Rekodi,Loan Words
TCLA043,Safari,Loan Words
TCLA044,Roboti,Loan Words
TCLA045,Familia,Loan Words
TCLA046,Mammografia,Loan Words
TCLA047,Neti,Loan Words
TCLA048,Nimonia,Loan Words
TCLA049,Polio,Loan Words
TCLA050,Kaunti,Loan Words
TCLA051,Oparesheni,Loan Words
TCLA052,Leseni,Loan Words
TCLA053,Karoti,Loan Words
TCLA054,Bandeji,Loan Words
TCLA055,Tumbaku,Loan Words
TCLA056,Kafeini,Loan Words
TCLA057,Semina,Loan Words
TCLA058,Sensa,Loan Words
TCLA059,Soka,Loan Words
TCLA060,Chaneli,Loan Words
TCLA061,Biolojia,Loan Words
TCLA062,Kemikali,Loan Words
TCLA063,Saikolojia,Loan Words
TCLA064,Hela,Loan Words
TCLA065,Technologia,Loan Words
TCLA066,Dakitari,Loan Words
TCLA067,Kontena,Loan Words
TCLA068,Lebo,Loan Words
TCLA069,Biologia,Loan Words
TCLA070,Sekondari,Loan Words
TCLA071,Protini,Loan Words
TCLA072,Dawa za kutesa,Sheng Usage
TCLA073,Kugonjeka,Sheng Usage
TCLA074,Dawa ya ushago,Sheng Usage
TCLA075,Ushago,Sheng Usage
TCLA076,boda boda,Sheng Usage
TCLA077,Shindano,Tribal Lexicons
TCLA078,Mashindano,Tribal Lexicons
TCLA079,Sungumsa,Tribal Lexicons
TCLA080,Shinda,Tribal Lexicons
TCLA081,Dagitari,Tribal Lexicons
TCLA082,Nawesa,Tribal Lexicons
TCLA083,Ujunguzi,Tribal Lexicons
TCLA084,Ungojwa,Tribal Lexicons
TCLA085,Wahuguzi,Tribal Lexicons
TCLA086,Yagu,Tribal Lexicons
TCLA087,Kubolesha,Tribal Lexicons
